,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
72,73,2016,The Secret Life of Pets,"$885,302,500","$368,384,330","$516,918,170"
73,74,2018,Bohemian Rhapsody,"$882,205,260","$216,303,339","$665,901,921"
74,75,2012,Ice Age: Continental Drift,"$879,765,137","$161,321,843","$718,443,294"
75,76,2015,Spectre,"$879,077,344","$200,074,175","$679,003,169"
76,77,2017,Spider-Man: Homecoming,"$878,271,291","$334,201,140","$544,070,151"
77,78,2002,Harry Potter and the Chamber of Secrets,"$874,954,530","$262,233,381","$612,721,149"
78,79,2016,Batman v Superman: Dawn of Justice,"$872,395,091","$330,360,194","$542,034,897"
79,80,2017,Guardians of the Galaxy Vol 2,"$869,087,963","$389,813,101","$479,274,862"
80,81,2013,The Hunger Games: Catching Fire,"$864,868,047","$424,668,047","$440,200,000"
81,82,2018,Venom,"$856,081,053","$213,511,408","$642,569,645"
82,83,2022,Black Panther: Wakanda Forever,"$854,041,058","$453,829,060","$400,211,998"
83,84,2015,Inside Out,"$850,566,343","$356,461,711","$494,104,632"
84,85,2017,Thor: Ragnarok,"$850,482,778","$315,058,289","$535,424,489"
85,86,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877","$380,270,577","$468,728,300"
86,87,2021,"Ni Hao, Li Huan Ying","$841,674,419",,"$841,674,419"
87,88,2009,Transformers: Revenge of the Fallen,"$836,519,699","$402,111,870","$434,407,829"
88,89,2017,Zhan Lang 2,"$835,474,171","$2,721,100","$832,753,071"
89,90,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737","$292,324,737","$537,400,000"
90,91,2002,Spider-Man,"$821,706,375","$403,706,375","$418,000,000"
91,92,2017,Wonder Woman,"$817,691,766","$412,563,408","$405,128,358"
92,93,1996,Independence Day,"$817,400,878","$306,169,255","$511,231,623"
93,94,2016,Fantastic Beasts and Where to Find Them,"$811,724,385","$234,037,575","$577,686,810"
94,95,2007,Shrek the Third,"$807,330,936","$322,719,944","$484,610,992"
95,96,2019,Jumanji: The Next Level,"$798,210,215","$316,831,246","$481,378,969"
96,97,1982,E.T. the Extra-Terrestrial,"$797,103,542","$439,251,124","$357,852,418"
97,98,2017,Coco,"$796,959,405","$210,460,015","$586,499,390"
98,99,2017,Pirates of the Caribbean: Dead Men Te…,"$794,861,794","$172,558,876","$622,302,918"
99,100,2004,Spider-Man 2,"$794,697,557","$373,524,485","$421,173,072"
100,101,2004,Harry Potter and the Prisoner of Azkaban,"$789,592,708","$249,757,726","$539,834,982"
101,102,2013,Fast and Furious 6,"$789,300,444","$238,679,850","$550,620,594"
102,103,2018,Mission: ImpossibleâFallout,"$787,176,729","$220,159,104","$567,017,625"
103,104,2008,Indiana Jones and the Kingdom of the …,"$786,635,413","$317,101,119","$469,534,294"
104,105,2018,Deadpool 2,"$786,362,370","$324,591,735","$461,770,635"
105,106,2016,Deadpool,"$781,947,691","$363,070,709","$418,876,982"
106,107,1977,Star Wars Ep. IV: A New Hope,"$775,398,007","$460,998,007","$314,400,000"
107,108,2014,Guardians of the Galaxy,"$770,882,395","$333,714,112","$437,168,283"
108,109,2006,The Da Vinci Code,"$767,820,459","$217,536,138","$550,284,321"
109,110,2014,The Hunger Games: Mockingjay - Part 1,"$766,575,131","$337,135,885","$429,439,246"
